"Participant.Public.ID","Experiment.Version","Participant.OS","Participant.Browser","randomiser_t27m","date.of.birth_year","date.of.birth_month","sex","languages","response_6","response_6_text","mask.problems","Difficulty.x","Tiring","more.info.on.masks","Difficulty.y","Distraction","response_4_1","response_4_2","response_4_3","response_4_4","response_4_text","response_5","Comments"
"210823_c179",9,"Mac OS 10.15","Firefox 91.0","Version1",11,11,"Female","English and another language (bilingual)","Raised in the UK from this age (please specify):","5","I don't know",3,3,"",3,1,"","There were issues with the videos","","","","The videos did not load until we refreshed the page. This happened 4 times.","it was fun."
"210823_c177",9,"Windows 10","Chrome 92.0.4515.159","Version5",11,11,"Male","English and another language (bilingual)","Raised in the UK from this age (please specify):","5 Months","Yes sometimes",2,4,"Not very problamatic",3,1,"Everything worked well","","","","","No","No"
"210719_c27",9,"Windows 10","Chrome 92.0.4515.131","Version3",10,0,"Female","English","Born and raised in the UK","","I don't know",4,1,"",1,1,"Everything worked well","","","","","twice the video paused itself","no"
"210818_c166",9,"Windows 10","Chrome 92.0.4515.131","Version4",8,8,"Male","English","Born and raised in the UK","","No",2,1,"",2,2,"","There were issues with the videos","","","","page needed refreshing about every 4 videos.  Speech with no mask was out of sink with video mouth movements.","Child says it was fun :)"
"210818_c162",9,"Linux x86_64","Chrome 91.0.4472.120","Version6",9,3,"Female","English","Born and raised in the UK","","Yes frequently",4,4,"",3,1,"Everything worked well","","","","","",""
"210818_c164",9,"Windows 10","Chrome 92.0.4515.131","Version1",11,2,"Female","English","Born and raised in the UK","","Yes sometimes",2,3,"",2,1,"Everything worked well","","","","","videos and audios were ok except during submissions it took very long",""
"210719_c08",9,"Windows 10","Chrome 92.0.4515.159","Version3",10,5,"Female","English","Born and raised in the UK","","No",3,3,"",2,1,"","","","There were issues with the voice recordings","","",""
"210725_c140",9,"Mac OS 10.15.7","Safari 14.1.2","Version7",9,7,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",3,3,"Everything worked well","","","","","none","none"
"210725_c128",9,"Chromium OS 13904.41.0","Chrome 91.0.4472.81","Version5",10,9,"Male","English","Born and raised in the UK","","No",2,3,"It has not been discussed as my child has had minimal contact with people wearing face masks (his teachers wore transparent face shields).",2,3,"Everything worked well","","","","","",""
"210725_c133",9,"Windows 10","Edge 92.0.902.73","Version2",12,4,"Female","English","Born and raised in the UK","","Yes sometimes",2,1,"It can be hard to hear when the speaker is wearing a mask",2,4,"Everything worked well","","","","","The videos occasionally were laggy.","No"
"210725_c137",9,"Mac OS 10.15.7","Safari 14.1.2","Version5",11,2,"Female","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",3,3,"can not lip read through masks",2,1,"Everything worked well","","","","","None.","No."
"210719_c45",9,"Windows 7","Chrome 89.0.4389.90","Version2",10,9,"Female","English","Born and raised in the UK","","Yes sometimes",2,1,"Noticed my daughter has to concentrate on listening more then usual",1,1,"Everything worked well","","","","","",""
"210719_c51",9,"Windows 10","Chrome 92.0.4515.131","Version6",10,6,"Female","English","Born and raised in the UK","","No",1,1,"Alveena hasnt really spoken to anyone whilst they are wearing a mask. People usually pull the mask down to their chin and take a step back and then converse.",2,1,"Everything worked well","","","","","","Alveena enjoyed the experiment."
"210725_c109",9,"Linux x86_64","Chrome 91.0.4472.120","Version7",9,4,"Female","English","Born and raised in the UK","","Yes frequently",4,4,"",4,1,"","There were issues with the videos","There were issues with the sound","","","some vedios were not appearing and the sound was not there too like 5 times","no"
"210719_c53",9,"Windows 10","Edge 92.0.902.67","Version4",11,1,"Male","English and another language (bilingual)","Born and raised in the UK","","Yes sometimes",2,2,"",2,1,"Everything worked well","","","","","",""
"210725_c94",9,"Mac OS 10.14.6","Chrome 92.0.4515.107","Version3",8,5,"Female","English","Born and raised in the UK","","No",2,1,"",2,2,"Everything worked well","","","","","",""
"210725_c98",9,"Mac OS 10.15.6","Safari 14.1.1","Version5",11,5,"Female","English","Born and raised in the UK","","No",1,1,"",1,2,"Everything worked well","","","","","",""
"210725_c95",9,"Windows 8.1","Chrome 92.0.4515.107","Version6",8,9,"Male","English","Born and raised in the UK","","Yes sometimes",1,1,"We hd a little misubderstnding at the start of wearing masks but it became normal after some time",4,1,"","There were issues with the videos","","","","Most of the videos could not generate well and so we are not sure if the responses were recorded.","We tried our best in the study and we are grateful for the study."
"210725_c88",9,"Mac OS 10.13.6","Safari 13.1.2","Version4",9,9,"Female","English","Born and raised in the UK","","Yes sometimes",4,4,"Sometimes says that someone who is far and talking through a mask -sounds muffled.",3,3,"","There were issues with the videos","","","","We had to refresh the pages a couple of times to go back to the study.","concentration span waned towards the end"
"210719_c66",9,"Windows 10","Chrome 92.0.4515.107","Version1",10,5,"Male","English","Born and raised in the UK","","Yes sometimes",4,3,"",1,1,"Everything worked well","","","","","NO","MY CHILD ENJOID"
"210725_c76",9,"Mac OS 10.13.6","Chrome 91.0.4472.101","Version2",10,5,"Female","English","Born and raised in the UK","","No",2,2,"",2,2,"Everything worked well","","","","","",""
"210725_c83",9,"Windows 8.1","Chrome 92.0.4515.107","Version5",10,3,"Female","English","Born and raised in the UK","","Yes sometimes",3,3,"Get confused and says is unble to follow sttements of a person wearing mask",4,4,"","There were issues with the videos","","","","technical issues","no"
"210725_c80",9,"Windows 10","Chrome 91.0.4472.124","Version3",12,2,"Male","English","Born and raised in the UK","","Yes sometimes",3,3,"",1,2,"Everything worked well","","","","Audio and Video","The audio and video were not always in sync","no"
